SR_NODD,CURRENT_STATUS,OFF_NAME,AGENCY_TYPE,STATE_NM,APP_ID,APP_NAME,BENF_TYPE_DESC,GENDER,BENF_CATEGORY_DESC,BENF_SPECIAL_CD,DOB,MOBILE,UNIT_ADDR,UNIT_TALUK_BLOCK,DISTRICT_NAME,IND_TYPE,ACTIVITY_NAME,PROD_DESC,IFSC_CODE,BANK_NAME,BANK_ADDRESS,BANK_F_DATE,PROJ_COST,TOT_SAMC_FB,CGTSI,IST_LOAN_REL,MM_CLAIM_DT,MM_CLAIM_AMT,MM_REL_DT,MM_REL_AMT,EDP_TRG_NM,EDP_CERT_DT,CERT_TYPE,ONLINE_PROMO,TEL_NO,E_MAIL,IND_GRP_LONG_DESC,APR_YR,ANNUAL_TURNOVER,SUSTAINABILITY_SCORE,OPERATIONAL_STATUS,EMPLOYMENT_AT_SETUP,MARGIN_MONEY_SUBSIDY_RS,SECTOR
538,Closed,Office_26,KVIC,UTTARAKHAND,APP2025212098,Applicant_538,Individual,Male,SC,EX-SERVICEMAN,2006-08-20,9877045909,Address_192,Block_A,District_41,Rural,Food Processing,Product_71,IFSC107351,ICICI Bank,Bank_Address_79,2021-03-20,1359659,1445834,272527,No,2021-09-17,1122660,2021-01-03,1157929,Training_34,2020-09-28,A,No,0136383391,applicant_538@email.com,Agro-based,2024-25,3025065,96.20902882500893,Non-Operational,8,500745,Manufacturing
539,Operational,Office_35,Ministry,KARNATAKA,APP2025108958,Applicant_539,Individual,Male,ST,NA,1974-07-09,9814629682,Address_331,Block_C,District_11,Urban,Health Care,Product_18,IFSC715420,Union Bank,Bank_Address_178,2022-10-12,237144,941292,358069,Partial,2021-06-14,1217562,2022-09-10,559040,Training_46,2021-01-21,C,Yes,0174302050,applicant_539@email.com,Retail,2025-26,243776,12.749343208559038,Closed,15,1459176,Services
540,Closed,Office_3,KVIC,WEST BENGAL,APP2025980679,Applicant_540,Individual,Female,ST,EX-SERVICEMAN,1985-03-22,9882066935,Address_340,Block_B,District_31,Rural,E-commerce,Product_51,IFSC670877,Union Bank,Bank_Address_69,2020-10-15,2067021,1160787,60432,No,2022-11-24,527425,2021-05-23,684813,Training_24,2023-03-10,A,Yes,0267826137,applicant_540@email.com,Services,2023-24,2750590,75.24672685436762,Operational,2,980481,Services
541,Non-Operational,Office_3,State,MADHYA PRADESH,APP2025699188,Applicant_541,Individual,Male,General,NA,1976-02-02,9883875771,Address_95,Block_C,District_11,Urban,Video & Photo Studio,Product_7,IFSC199487,ICICI Bank,Bank_Address_98,2021-02-03,1132162,1444499,442333,Partial,2022-04-17,1710778,2023-01-30,133993,Training_46,2021-06-22,B,Yes,0251547439,applicant_541@email.com,Agro-based,2023-24,1466841,42.404436464186276,Operational,10,176545,Services
542,Operational,Office_54,KVIB,TELANGANA,APP2025561882,Applicant_542,Individual,Female,General,NA,2013-12-11,9873723109,Address_114,Block_C,District_15,Rural,E-commerce,Product_34,IFSC381492,PNB,Bank_Address_21,2022-03-22,2163932,1054915,32702,Partial,2022-12-05,1794303,2022-02-20,1267375,Training_14,2020-06-11,B,Yes,0269661833,applicant_542@email.com,Agro-based,2023-24,3198054,88.81054808978547,Non-Operational,15,1270909,Services
543,Non-Operational,Office_92,KVIB,HARYANA,APP2025824658,Applicant_543,Individual,Male,ST,EX-SERVICEMAN,1980-07-27,9878979665,Address_165,Block_A,District_16,Urban,IT Services,Product_38,IFSC188700,HDFC Bank,Bank_Address_188,2021-10-31,2153551,1389404,347054,Partial,2021-07-31,618559,2022-07-12,660148,Training_42,2020-06-28,C,Yes,0212274747,applicant_543@email.com,Services,2025-26,4710558,44.28504474667964,Closed,20,994446,Services
544,Operational,Office_26,DIC,KERALA,APP2025793163,Applicant_544,Individual,Female,Scheduled Tribe,NA,1979-07-15,9844326491,Address_343,Block_B,District_34,Urban,Food Processing,Product_1,IFSC469738,Kotak Bank,Bank_Address_15,2023-01-08,920658,620204,70967,Yes,2022-10-31,1192092,2020-05-12,1128455,Training_42,2020-11-16,B,No,0155870367,applicant_544@email.com,Agro-based,2024-25,2283948,47.93999982835604,Operational,3,1081659,Manufacturing
545,Closed,Office_27,Ministry,TAMIL NADU,APP2025846482,Applicant_545,Individual,Female,OBC,PWD,1984-06-08,9888507781,Address_74,Block_D,District_42,Rural,E-commerce,Product_67,IFSC679095,Canara Bank,Bank_Address_156,2020-06-21,1476606,852162,277540,Yes,2021-04-01,1804635,2020-09-02,1334906,Training_38,2020-11-16,A,No,0213845345,applicant_545@email.com,Agro-based,2024-25,270831,58.369649918148866,Operational,14,845781,Services
546,Operational,Office_47,Ministry,ASSAM,APP2025196834,Applicant_546,Individual,Male,Scheduled Tribe,PWD,1984-12-17,9842217462,Address_230,Block_D,District_32,Rural,Tourism Services,Product_40,IFSC425284,Bank of Baroda,Bank_Address_33,2023-10-01,1838725,733458,42926,No,2023-03-14,1042659,2021-05-06,592362,Training_4,2023-12-29,C,Yes,0354312862,applicant_546@email.com,Manufacturing,2025-26,2854292,98.36774679031129,Operational,11,971452,Services
547,Non-Operational,Office_66,DIC,ASSAM,APP2025328736,Applicant_547,Individual,Female,SC,PWD,1977-04-11,9810055528,Address_41,Block_B,District_38,Urban,E-commerce,Product_12,IFSC514593,Union Bank,Bank_Address_189,2023-06-20,657511,921181,28420,No,2023-11-27,1041700,2020-02-05,1004011,Training_2,2022-03-05,B,Yes,0142862994,applicant_547@email.com,Services,2024-25,3506119,31.566221990519104,Operational,11,176226,Services
548,Operational,Office_92,Ministry,HIMACHAL PRADESH,APP2025618300,Applicant_548,Individual,Male,General,EX-SERVICEMAN,1996-08-24,9888564884,Address_274,Block_D,District_36,Rural,Health Care,Product_5,IFSC261394,SBI,Bank_Address_111,2023-01-17,2447655,217971,330767,Yes,2023-12-11,1889752,2022-01-05,785190,Training_45,2020-11-11,B,Yes,0203456714,applicant_548@email.com,Retail,2024-25,3838733,68.6004034386942,Closed,10,382487,Services
549,Closed,Office_7,KVIB,PUNJAB,APP2025965116,Applicant_549,Individual,Male,SC,PWD,1963-01-02,9841907642,Address_484,Block_D,District_31,Rural,IT Services,Product_53,IFSC481323,SBI,Bank_Address_100,2020-11-10,353412,931372,468051,No,2020-06-07,1379814,2022-08-17,1094091,Training_30,2020-10-08,B,No,0365368910,applicant_549@email.com,Retail,2023-24,3390095,24.578849320134754,Closed,20,1404060,Services
550,Non-Operational,Office_32,KVIC,ASSAM,APP2025919800,Applicant_550,Individual,Male,SC,PWD,2002-01-03,9859333978,Address_122,Block_C,District_19,Rural,Food Processing,Product_96,IFSC206440,Union Bank,Bank_Address_116,2022-10-11,1615782,1112099,69149,No,2021-08-11,486006,2022-10-08,909750,Training_13,2020-11-04,NA,No,0172587937,applicant_550@email.com,Agro-based,2023-24,3003925,22.656380956724565,Operational,14,977407,Manufacturing
551,Operational,Office_54,KVIB,UTTAR PRADESH,APP2025515844,Applicant_551,Individual,Female,General,PWD,2006-02-04,9848354759,Address_357,Block_D,District_2,Urban,Health Care,Product_81,IFSC499125,SBI,Bank_Address_90,2022-03-22,1415593,491389,147932,Yes,2020-09-30,1621166,2021-07-15,1224776,Training_43,2023-02-25,A,Yes,0299403976,applicant_551@email.com,Agro-based,2025-26,4991241,68.33088212356195,Closed,16,618933,Services
552,Closed,Office_72,DIC,KARNATAKA,APP2025135745,Applicant_552,Individual,Male,OBC,NA,2011-07-03,9892682787,Address_315,Block_B,District_2,Rural,Service Business,Product_25,IFSC168867,PNB,Bank_Address_166,2021-10-19,1783627,193843,151730,Yes,2022-10-05,1872816,2023-01-28,422346,Training_46,2022-03-25,B,No,0198942119,applicant_552@email.com,Services,2024-25,4896119,19.30647459739334,Operational,1,1020436,Services
553,Operational,Office_46,DIC,JHARKHAND,APP2025348254,Applicant_553,Individual,Female,ST,PWD,1974-07-09,9888828916,Address_20,Block_C,District_50,Urban,Food Processing,Product_3,IFSC385048,Axis Bank,Bank_Address_34,2022-10-09,458217,1210694,461646,Yes,2023-04-05,1691023,2023-06-08,1195182,Training_28,2023-02-02,NA,Yes,0351388297,applicant_553@email.com,Services,2025-26,1766942,12.47780347524533,Non-Operational,16,1131028,Manufacturing
554,Closed,Office_79,KVIC,KARNATAKA,APP2025705774,Applicant_554,Individual,Female,ST,EX-SERVICEMAN,2006-12-08,9835567523,Address_197,Block_C,District_47,Urban,Service Business,Product_43,IFSC869681,Axis Bank,Bank_Address_130,2021-06-24,651097,967853,176613,Yes,2021-11-17,785566,2022-12-13,95312,Training_45,2021-07-29,NA,No,0325423283,applicant_554@email.com,Agro-based,2025-26,976613,62.01960709225077,Non-Operational,17,1338463,Services
555,Operational,Office_9,DIC,HARYANA,APP2025575606,Applicant_555,Individual,Male,Scheduled Tribe,PWD,1976-07-25,9875106794,Address_370,Block_C,District_46,Urban,Health Care,Product_91,IFSC274692,IndusInd Bank,Bank_Address_26,2021-09-23,1824922,546461,218127,No,2022-02-09,100905,2021-09-07,1058534,Training_1,2020-11-30,A,No,0347967119,applicant_555@email.com,Retail,2023-24,2930453,82.39184382037567,Operational,4,970702,Services
556,Non-Operational,Office_87,Ministry,CHHATTISGARH,APP2025516577,Applicant_556,Individual,Female,General,NA,2005-05-23,9887422386,Address_500,Block_A,District_35,Rural,Education Center,Product_34,IFSC694716,HDFC Bank,Bank_Address_55,2023-07-11,2171684,1424409,291831,Partial,2022-11-03,601679,2023-05-29,422636,Training_29,2022-05-07,B,Yes,0363081257,applicant_556@email.com,Agro-based,2023-24,787765,76.44301529082966,Non-Operational,20,1021996,Services
557,Operational,Office_9,DIC,HARYANA,APP2025854279,Applicant_557,Individual,Male,Scheduled Tribe,NA,1988-08-05,9878928206,Address_149,Block_B,District_32,Urban,Service Business,Product_89,IFSC353063,Bank of Baroda,Bank_Address_117,2022-01-28,1218683,1488586,490998,Partial,2021-08-10,1227239,2020-07-14,1428202,Training_49,2021-01-21,A,No,0117913780,applicant_557@email.com,Retail,2023-24,2405456,73.6999998166877,Operational,13,1436935,Services
558,Closed,Office_76,DIC,JAMMU & KASHMIR,APP2025895531,Applicant_558,Individual,Female,Scheduled Caste,NA,1974-10-11,9874344451,Address_241,Block_C,District_28,Rural,IT Services,Product_13,IFSC416938,PNB,Bank_Address_139,2021-07-13,2030229,718359,134424,No,2020-06-20,1042143,2022-09-17,1044082,Training_31,2023-09-16,C,Yes,0384323234,applicant_558@email.com,Retail,2024-25,4871651,64.5298339600552,Operational,6,155266,Services
559,Closed,Office_1,State,JAMMU & KASHMIR,APP2025686191,Applicant_559,Individual,Female,Scheduled Caste,NA,1982-02-16,9839852895,Address_310,Block_A,District_13,Rural,E-commerce,Product_16,IFSC145673,IndusInd Bank,Bank_Address_63,2021-10-29,691581,1195147,110683,Yes,2020-08-23,245016,2022-01-10,1355903,Training_23,2023-09-11,C,Yes,0356542469,applicant_559@email.com,Retail,2025-26,2419979,10.66645983939436,Closed,15,963560,Services
560,Closed,Office_25,State,RAJASTHAN,APP2025283670,Applicant_560,Individual,Male,OBC,PWD,1966-06-30,9854719432,Address_154,Block_A,District_32,Rural,Manufacturing,Product_71,IFSC995522,Kotak Bank,Bank_Address_80,2020-08-11,1516996,315081,44630,Yes,2022-10-30,1318199,2020-01-06,262212,Training_39,2022-02-27,A,Yes,0384196740,applicant_560@email.com,Services,2024-25,4878211,61.97372690075046,Closed,15,946718,Manufacturing
561,Non-Operational,Office_15,DIC,ODISHA,APP2025528949,Applicant_561,Individual,Male,Scheduled Caste,EX-SERVICEMAN,1982-07-22,9892889222,Address_334,Block_D,District_8,Rural,Education Center,Product_89,IFSC662594,Axis Bank,Bank_Address_161,2020-02-04,1636120,826277,218398,Yes,2022-06-23,1058055,2023-07-16,769463,Training_26,2023-08-27,A,Yes,0218866295,applicant_561@email.com,Retail,2025-26,908155,49.18850691229728,Operational,20,230696,Services
562,Non-Operational,Office_30,DIC,CHHATTISGARH,APP2025316589,Applicant_562,Individual,Male,OBC,NA,2007-02-15,9858817872,Address_54,Block_A,District_46,Rural,Manufacturing,Product_69,IFSC306652,Axis Bank,Bank_Address_198,2021-07-08,588388,646877,319801,Yes,2021-11-13,1671402,2021-12-15,1323190,Training_46,2023-11-14,A,Yes,0405544932,applicant_562@email.com,Manufacturing,2025-26,3947134,59.67057016038977,Operational,17,329048,Manufacturing
563,Closed,Office_72,DIC,ODISHA,APP2025745314,Applicant_563,Individual,Male,OBC,NA,1973-01-15,9836481250,Address_482,Block_B,District_32,Urban,Manufacturing,Product_15,IFSC209417,HDFC Bank,Bank_Address_159,2021-05-18,2342944,1088872,107684,No,2023-10-16,1674118,2022-12-28,1376202,Training_45,2021-08-09,B,No,0258200268,applicant_563@email.com,Retail,2025-26,464441,84.53823845114069,Closed,9,370484,Manufacturing
564,Non-Operational,Office_67,State,ODISHA,APP2025697936,Applicant_564,Individual,Male,SC,NA,1973-03-11,9859375689,Address_347,Block_B,District_19,Rural,Video & Photo Studio,Product_22,IFSC633514,HDFC Bank,Bank_Address_154,2023-07-26,2147271,594210,69280,Partial,2022-09-02,1437051,2020-02-02,551654,Training_33,2021-10-09,A,No,0312958856,applicant_564@email.com,Manufacturing,2025-26,1516038,54.865629712508,Closed,18,847389,Services
565,Closed,Office_71,KVIC,CHHATTISGARH,APP2025678696,Applicant_565,Individual,Male,ST,NA,1975-05-16,9890012517,Address_343,Block_A,District_23,Rural,IT Services,Product_95,IFSC602419,IndusInd Bank,Bank_Address_145,2020-12-04,157909,577770,168669,Partial,2021-10-06,613502,2021-03-30,962918,Training_10,2023-12-06,A,No,0372516162,applicant_565@email.com,Manufacturing,2025-26,4341342,7.189911891724011,Closed,3,615664,Services
566,Operational,Office_77,KVIB,ODISHA,APP2025907417,Applicant_566,Individual,Male,Scheduled Tribe,PWD,1989-09-25,9873789528,Address_53,Block_B,District_2,Rural,Tourism Services,Product_31,IFSC900475,Union Bank,Bank_Address_17,2020-12-13,278177,1012560,13984,Yes,2021-08-12,722793,2021-01-16,955486,Training_32,2022-03-21,A,No,0214304205,applicant_566@email.com,Manufacturing,2024-25,2005321,98.51832315944614,Operational,10,320958,Services
567,Closed,Office_89,Ministry,UTTARAKHAND,APP2025111187,Applicant_567,Individual,Male,ST,PWD,1996-02-26,9895959090,Address_390,Block_A,District_33,Urban,Video & Photo Studio,Product_7,IFSC634087,Union Bank,Bank_Address_194,2023-05-08,2354083,441577,275200,Yes,2022-01-26,1439969,2021-03-22,650089,Training_23,2022-09-02,B,No,0253631810,applicant_567@email.com,Agro-based,2023-24,1986621,5.175885738335695,Closed,2,904272,Services
568,Non-Operational,Office_74,Ministry,UTTAR PRADESH,APP2025361186,Applicant_568,Individual,Female,General,EX-SERVICEMAN,1976-07-27,9874832445,Address_436,Block_A,District_12,Rural,Tourism Services,Product_94,IFSC191410,HDFC Bank,Bank_Address_47,2021-01-23,2233293,501056,18197,Partial,2021-11-07,1410131,2021-08-21,509600,Training_2,2023-08-29,B,Yes,0292363517,applicant_568@email.com,Services,2023-24,1965499,77.56558625728974,Closed,18,621671,Services
569,Closed,Office_97,KVIB,TAMIL NADU,APP2025934231,Applicant_569,Individual,Female,ST,NA,1975-04-24,9833042069,Address_188,Block_B,District_17,Rural,Education Center,Product_56,IFSC535487,Axis Bank,Bank_Address_56,2022-03-27,1110517,1201998,398024,No,2023-07-21,514056,2023-09-12,1022844,Training_39,2023-07-04,C,No,0396716583,applicant_569@email.com,Retail,2025-26,3685191,25.17971381236519,Non-Operational,1,248472,Services
570,Operational,Office_23,KVIC,RAJASTHAN,APP2025200900,Applicant_570,Individual,Female,General,NA,2003-04-06,9825795929,Address_243,Block_A,District_34,Rural,Education Center,Product_8,IFSC325184,HDFC Bank,Bank_Address_75,2023-08-04,2027937,776795,438911,Yes,2020-05-19,1223777,2023-04-20,700433,Training_22,2022-12-08,A,No,0214920121,applicant_570@email.com,Manufacturing,2023-24,1281046,36.15526492075113,Operational,11,1156826,Services
571,Non-Operational,Office_94,KVIB,HIMACHAL PRADESH,APP2025112428,Applicant_571,Individual,Female,ST,PWD,2013-05-29,9890212087,Address_5,Block_C,District_27,Urban,Education Center,Product_21,IFSC222845,ICICI Bank,Bank_Address_116,2020-11-09,1843595,471433,284205,Partial,2023-06-07,518704,2022-07-01,1345670,Training_9,2022-02-04,B,Yes,0359013224,applicant_571@email.com,Retail,2023-24,3007922,63.78674987586736,Non-Operational,12,138259,Services
572,Closed,Office_11,DIC,BIHAR,APP2025613900,Applicant_572,Individual,Female,SC,EX-SERVICEMAN,1987-02-12,9818813196,Address_243,Block_A,District_32,Urban,Manufacturing,Product_47,IFSC290630,Canara Bank,Bank_Address_137,2020-02-03,2354932,1253536,252780,Yes,2023-04-03,1868073,2020-06-24,463417,Training_44,2023-04-09,B,Yes,0189076747,applicant_572@email.com,Services,2024-25,4427924,78.31840849141297,Operational,12,1053437,Manufacturing
573,Non-Operational,Office_94,KVIC,MADHYA PRADESH,APP2025348607,Applicant_573,Individual,Female,OBC,PWD,1990-08-02,9822819641,Address_423,Block_B,District_7,Rural,Retail Trading,Product_2,IFSC497219,Canara Bank,Bank_Address_127,2022-04-09,279872,403189,17446,No,2021-11-27,367210,2022-12-31,554033,Training_42,2022-01-14,C,Yes,0386881981,applicant_573@email.com,Retail,2024-25,4797229,21.533873104515642,Closed,20,1366846,Services
574,Non-Operational,Office_16,State,MAHARASHTRA,APP2025919893,Applicant_574,Individual,Male,ST,EX-SERVICEMAN,1968-02-26,9813906803,Address_5,Block_B,District_35,Urban,Textile Unit,Product_83,IFSC809755,Canara Bank,Bank_Address_144,2020-06-11,246788,609446,316956,No,2022-07-22,797926,2020-08-06,980693,Training_13,2022-05-12,A,Yes,0361000263,applicant_574@email.com,Services,2025-26,3440574,65.59026226391128,Closed,1,1157777,Manufacturing
575,Operational,Office_68,DIC,UTTAR PRADESH,APP2025238185,Applicant_575,Individual,Female,Scheduled Caste,EX-SERVICEMAN,1981-03-15,9842750410,Address_451,Block_C,District_14,Urban,Video & Photo Studio,Product_31,IFSC600099,Axis Bank,Bank_Address_142,2021-12-22,1156843,726456,476285,Yes,2022-02-08,1199791,2020-02-26,1411843,Training_32,2020-11-21,B,No,0288683526,applicant_575@email.com,Services,2025-26,2486407,21.96768888966537,Operational,7,493455,Services
576,Non-Operational,Office_8,State,JHARKHAND,APP2025883555,Applicant_576,Individual,Male,Scheduled Tribe,NA,1996-04-15,9874085847,Address_23,Block_B,District_5,Rural,Retail Trading,Product_50,IFSC641878,Axis Bank,Bank_Address_161,2022-09-14,1372589,900138,239374,Yes,2023-05-30,671705,2020-12-10,897113,Training_43,2021-11-15,C,No,0187948141,applicant_576@email.com,Services,2024-25,3602102,62.26339372477908,Non-Operational,17,846315,Services
577,Operational,Office_90,KVIB,KARNATAKA,APP2025916612,Applicant_577,Individual,Female,OBC,NA,1985-10-22,9862280119,Address_449,Block_B,District_6,Rural,Video & Photo Studio,Product_67,IFSC429132,SBI,Bank_Address_116,2022-08-30,2455674,1424509,448624,Yes,2021-11-30,1254002,2021-01-22,1223469,Training_34,2022-12-15,B,No,0232897355,applicant_577@email.com,Manufacturing,2023-24,1407505,1.7152121778133078,Closed,15,144800,Services
578,Non-Operational,Office_51,Ministry,JAMMU & KASHMIR,APP2025731504,Applicant_578,Individual,Female,Scheduled Caste,NA,1971-05-07,9819365638,Address_81,Block_A,District_47,Urban,Handicraft,Product_81,IFSC755649,IndusInd Bank,Bank_Address_128,2022-06-04,908524,188488,444531,Yes,2023-10-07,1984744,2022-09-02,1193864,Training_50,2023-10-25,C,Yes,0126874167,applicant_578@email.com,Services,2025-26,3457894,46.06720474569354,Closed,14,349683,Manufacturing
579,Closed,Office_12,KVIC,WEST BENGAL,APP2025722506,Applicant_579,Individual,Female,Scheduled Tribe,PWD,1979-05-12,9899319812,Address_287,Block_A,District_41,Rural,Tourism Services,Product_91,IFSC633115,IndusInd Bank,Bank_Address_93,2022-03-30,510815,1095925,389367,No,2023-01-10,511380,2020-07-10,844905,Training_43,2022-03-11,C,No,0314131999,applicant_579@email.com,Manufacturing,2025-26,757653,71.79214525811281,Operational,4,216463,Services
580,Non-Operational,Office_33,KVIC,CHHATTISGARH,APP2025221926,Applicant_580,Individual,Female,SC,PWD,1994-01-01,9856251692,Address_207,Block_B,District_50,Urban,Handicraft,Product_71,IFSC510485,ICICI Bank,Bank_Address_100,2020-05-26,103443,879963,255543,No,2023-01-27,877110,2022-02-25,818267,Training_32,2022-02-17,C,Yes,0141871618,applicant_580@email.com,Retail,2025-26,3332082,81.32052514161138,Operational,8,946571,Manufacturing
581,Operational,Office_75,State,BIHAR,APP2025666538,Applicant_581,Individual,Male,OBC,NA,1968-11-09,9830239612,Address_288,Block_D,District_38,Urban,Video & Photo Studio,Product_42,IFSC934039,HDFC Bank,Bank_Address_3,2022-03-22,1764412,1013337,91038,Yes,2023-03-02,1645193,2022-03-28,132321,Training_28,2023-04-21,C,Yes,0374286229,applicant_581@email.com,Retail,2025-26,2612642,9.143543815109679,Closed,10,1155569,Services
582,Non-Operational,Office_69,Ministry,MAHARASHTRA,APP2025139254,Applicant_582,Individual,Male,Scheduled Caste,PWD,1987-04-16,9870281394,Address_167,Block_C,District_49,Rural,Handicraft,Product_39,IFSC673066,Kotak Bank,Bank_Address_62,2023-03-18,746474,909196,297140,Partial,2020-04-11,1097848,2022-06-12,599459,Training_40,2020-12-04,A,Yes,0259948771,applicant_582@email.com,Services,2023-24,792916,12.846197111320933,Closed,11,728438,Manufacturing
583,Closed,Office_67,KVIC,TAMIL NADU,APP2025379427,Applicant_583,Individual,Female,SC,PWD,1973-03-24,9864922945,Address_316,Block_B,District_43,Rural,Education Center,Product_30,IFSC877315,Bank of Baroda,Bank_Address_11,2021-11-25,1691247,537828,319579,Yes,2021-08-23,1034379,2020-10-12,1494693,Training_32,2020-12-04,NA,Yes,0117799241,applicant_583@email.com,Retail,2025-26,640394,9.659706007915092,Operational,18,248736,Services
584,Operational,Office_2,KVIB,ODISHA,APP2025228414,Applicant_584,Individual,Female,Scheduled Tribe,NA,1992-10-27,9897338100,Address_166,Block_A,District_2,Urban,IT Services,Product_27,IFSC255852,Canara Bank,Bank_Address_54,2022-07-21,276051,547472,332015,Partial,2022-09-07,746939,2022-07-31,1129410,Training_25,2023-01-17,A,No,0218885788,applicant_584@email.com,Retail,2023-24,1284694,8.788161112531656,Closed,2,667862,Services
585,Closed,Office_51,State,ASSAM,APP2025740022,Applicant_585,Individual,Male,OBC,PWD,2004-09-15,9844900888,Address_118,Block_A,District_28,Rural,Tourism Services,Product_83,IFSC493902,SBI,Bank_Address_180,2021-09-12,1876539,1322131,363891,No,2020-02-10,312882,2021-12-16,1005787,Training_45,2020-07-07,A,Yes,0173431062,applicant_585@email.com,Manufacturing,2025-26,771082,29.85248733867165,Operational,9,1431433,Services
586,Operational,Office_41,State,CHHATTISGARH,APP2025212258,Applicant_586,Individual,Male,SC,NA,1986-06-27,9841269038,Address_343,Block_B,District_21,Urban,Textile Unit,Product_58,IFSC593575,IndusInd Bank,Bank_Address_72,2020-01-11,976329,497825,243282,Partial,2021-07-28,512220,2022-05-23,357682,Training_4,2020-12-24,B,No,0326325305,applicant_586@email.com,Manufacturing,2023-24,3427049,88.88325376170278,Operational,15,1042354,Manufacturing
587,Operational,Office_28,KVIC,ASSAM,APP2025770096,Applicant_587,Individual,Male,OBC,EX-SERVICEMAN,2007-01-31,9855799685,Address_337,Block_B,District_41,Urban,Retail Trading,Product_6,IFSC406571,SBI,Bank_Address_50,2023-11-29,1481297,987565,119177,Partial,2021-07-01,837432,2023-11-27,626893,Training_12,2021-07-09,A,No,0208708798,applicant_587@email.com,Agro-based,2024-25,1623963,92.46096173980433,Non-Operational,16,1460472,Services
588,Non-Operational,Office_50,KVIB,TAMIL NADU,APP2025265119,Applicant_588,Individual,Female,Scheduled Tribe,EX-SERVICEMAN,2003-06-12,9814693950,Address_200,Block_A,District_46,Urban,E-commerce,Product_17,IFSC806689,ICICI Bank,Bank_Address_187,2021-02-15,1371280,1155018,461756,Yes,2022-11-09,1235896,2020-10-05,1411684,Training_39,2022-01-18,NA,Yes,0372285786,applicant_588@email.com,Retail,2024-25,4867446,77.8235316126285,Non-Operational,3,1348956,Services
589,Operational,Office_34,DIC,TAMIL NADU,APP2025918087,Applicant_589,Individual,Female,Scheduled Tribe,NA,1999-07-27,9856863172,Address_91,Block_B,District_32,Urban,Textile Unit,Product_7,IFSC422987,PNB,Bank_Address_184,2022-12-20,190587,251046,214637,Yes,2021-05-22,859770,2021-05-10,422889,Training_45,2023-10-04,A,Yes,0172549625,applicant_589@email.com,Services,2023-24,2851016,17.466273851020052,Operational,9,122896,Manufacturing
590,Non-Operational,Office_74,KVIB,JAMMU & KASHMIR,APP2025605065,Applicant_590,Individual,Female,General,PWD,1988-12-01,9814625432,Address_386,Block_B,District_12,Urban,Video & Photo Studio,Product_99,IFSC777888,PNB,Bank_Address_35,2022-10-11,1860557,1238705,232269,Yes,2021-11-23,398336,2023-04-30,1417187,Training_21,2023-02-28,NA,No,0195252685,applicant_590@email.com,Manufacturing,2025-26,1640292,60.775492557643084,Closed,18,1386811,Services
591,Closed,Office_11,KVIC,KARNATAKA,APP2025158129,Applicant_591,Individual,Male,Scheduled Caste,NA,1997-09-11,9830670967,Address_460,Block_A,District_14,Rural,Textile Unit,Product_9,IFSC102168,Axis Bank,Bank_Address_74,2020-10-05,1134434,634070,387840,Partial,2022-05-07,283945,2020-03-11,1128160,Training_49,2020-05-30,B,No,0341218715,applicant_591@email.com,Agro-based,2023-24,3914963,17.451877267842452,Operational,11,533258,Manufacturing
592,Non-Operational,Office_55,KVIB,JAMMU & KASHMIR,APP2025380468,Applicant_592,Individual,Female,Scheduled Tribe,PWD,2012-11-24,9867779410,Address_387,Block_A,District_34,Urban,Service Business,Product_9,IFSC638386,Union Bank,Bank_Address_155,2020-01-09,482918,733350,270295,No,2023-01-28,1689082,2020-01-24,661554,Training_23,2023-08-20,B,Yes,0254520328,applicant_592@email.com,Manufacturing,2025-26,1017937,95.49270108919329,Closed,11,1149384,Services
593,Non-Operational,Office_20,DIC,ASSAM,APP2025764585,Applicant_593,Individual,Male,ST,PWD,1991-02-13,9885061954,Address_302,Block_C,District_37,Rural,Handicraft,Product_35,IFSC262923,Kotak Bank,Bank_Address_136,2023-05-27,1874333,494407,481183,Partial,2020-02-01,1461442,2023-03-29,1072842,Training_36,2021-07-10,C,No,0376737323,applicant_593@email.com,Agro-based,2024-25,2837492,30.25020643348103,Non-Operational,4,1114819,Manufacturing
594,Operational,Office_9,KVIC,WEST BENGAL,APP2025459860,Applicant_594,Individual,Male,ST,PWD,1992-05-06,9859006411,Address_423,Block_B,District_41,Rural,IT Services,Product_32,IFSC599521,Kotak Bank,Bank_Address_44,2023-09-04,1550353,1296446,158120,No,2022-03-03,1038992,2023-09-27,447481,Training_15,2021-11-22,NA,No,0242772821,applicant_594@email.com,Agro-based,2023-24,1259295,57.924251077648634,Non-Operational,7,594202,Services
595,Operational,Office_33,DIC,JAMMU & KASHMIR,APP2025146349,Applicant_595,Individual,Female,OBC,EX-SERVICEMAN,1970-02-03,9876871228,Address_329,Block_B,District_45,Urban,Textile Unit,Product_64,IFSC518218,SBI,Bank_Address_39,2022-08-28,2122420,1477842,458583,Yes,2021-10-11,1079990,2022-06-02,1459121,Training_49,2022-07-26,A,No,0356656947,applicant_595@email.com,Agro-based,2024-25,4765155,31.678446282880735,Non-Operational,12,693906,Manufacturing
